Prod_Desc_norm,ocorrencias,exemplos,subcats
torneira clinica curva de mesa p lavatorio alavanca bica movel inox,3,"['Torneira clínica curva de mesa p/ lavatório, alavanca bica móvel inox']",['Torneiras']
torneira clinica de parede fixa p lavatorio com inclinacao e acionamento braco punho ou cotovelo inox,3,"['Torneira clínica de parede fixa p/ lavatório, com inclinação e acionamento braço, punho ou cotovelo – inox']",['Torneiras']
transformador a seco 112 5 kva 13 8 0 38kv,3,['Transformador a seco 112.5 kVA 13.8/0.38kV'],['Formas']
transformador a seco 750 kva 13 8 0 38kv,3,['Transformador a seco 750 kVA 13.8/0.38kV'],['Formas']
adaptador de pvc soldavel 50mm x 1 1 2,3,['Adaptador de pvc soldável 50mm x 1.1/2'],['Canos e Conexões Hidráulicas']
adaptador caixa d agua com registro dn25mm pvc marrom soldavel conforme nbr 5648,3,"[""Adaptador Caixa d'Água com Registro, DN25mm, PVC Marrom Soldável, conforme NBR 5648""]","['Canos e Conexões Hidráulicas', 'Água Fria']"
adaptador caixa d agua com registro dn32mm pvc marrom soldavel conforme nbr 5648,3,"[""Adaptador Caixa d'Água com Registro, DN32mm, PVC Marrom Soldável, conforme NBR 5648""]","['Canos e Conexões Hidráulicas', 'Água Fria']"
adaptador de pvc soldavel 20mm x 1 2,3,['Adaptador de pvc soldável 20mm x 1/2'],['Canos e Conexões Hidráulicas']
unidade seladora,3,['UNIDADE SELADORA'],"['Outros - Materiais Elétricos', 'Outros Elétricos', 'Quadros e Caixas Elétricas']"
vergalhao de aco nervurado ca 50 8mm 5 16 12m,3,['Vergalhão de aço nervurado CA-50 8mm (5/16) 12m'],"['Aços para Construção', 'Ferragens']"
vergalhao de aco nervurado ca 50 12 5mm 12m,3,"['Vergalhão de aço nervurado CA-50 12,5mm 12m']","['Aços para Construção', 'Ferragens']"
disjuntor din monofasico 40a,3,"['DISJUNTOR DIN MONOFÁSICO 40A', 'Disjuntor DIN monofásico 40A']",['Proteções Elétricas']
disjuntor din monofasico 50a,3,"['DISJUNTOR DIN MONOFÁSICO 50A', 'Disjuntor DIN monofásico 50A']",['Proteções Elétricas']
disjuntor din monofasico 63a,3,"['DISJUNTOR DIN MONOFÁSICO 63A', 'Disjuntor DIN monofásico 63A']",['Proteções Elétricas']
solda exotermica molde hcl 5 8 50 5 ref mhcl5850 05 cartucho no115 ref nsec0115 alicate z 201 ref nsez0201,3,"['Solda Exotérmica, molde HCL 5/8.50-5 REF.: MHCL5850-05, cartucho Nº115 REF.: NSEC0115, alicate Z-201 REF.: NSEZ0201)']","['Tomadas, interruptores e plugues']"
solvente minimo 900ml,3,['Solvente mínimo 900ml'],['Verniz e Solvente']
spray tinta aerosol branco fosco uso geral minimo 400ml,3,['Spray Tinta Aerosol branco fosco - uso geral - mínimo 400Ml'],['Verniz e Solvente']
spray tinta aerosol preto fosco uso geral minimo 350ml,3,['Spray Tinta Aerosol preto fosco- uso geral – mínimo 350Ml'],['Verniz e Solvente']
tampa para fossa filtro anaerobio e sumidouro ø600mm,3,"['Tampa, para fossa, filtro Anaeróbio e Sumidouro, Ø600mm']","['Artefatos de Concreto', 'Sanitário']"
rele temporizador 0 6s,3,"['RELE TEMPORIZADOR 0-6S', 'RELÉ TEMPORIZADOR 0-6S', 'Relé temporizador 0-6S']",['Automação Industrial']
rele termico sobrecarga rw27 2d3 d125 8 12 5a,3,"['RELÉ TÉRMICO SOBRECARGA RW27 2D3-D125 8-12,5A', 'Relé térmico sobrecarga RW27 2D3-D125 8-12,5A']",['Proteções Elétricas']
rele termico sobrecarga rw27 2d3 u023 15 23a,3,"['RELÉ TÉRMICO SOBRECARGA RW27 2D3-U023 15-23A', 'Relé térmico sobrecarga RW27 2D3-U023 15-23A']",['Proteções Elétricas']
brita no 1,3,['Brita Nº 1'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
brocha p pedreiro retangular pintura trincha,3,['Brocha p/ pedreiro retangular pintura trincha'],['Ferramentas   para Pintura']
bucha de reducao curta dn32x25mm pvc marrom soldavel conforme nbr 5648,3,"['Bucha de Redução Curta, DN32x25mm, PVC Marrom Soldável, conforme NBR 5648']","['Canos e Conexões Hidráulicas', 'Água Fria']"
