Prod_Desc_norm,ocorrencias,exemplos,subcats
ripa de madeira para bancos de 185 x 10cm x 3cm minimo podendo variar aparelhada em duas bordas em macaranduba angelim ou equivalente da regiao,2,"['RIPA DE MADEIRA PARA BANCOS, DE 185 X 10CM X 3CM (MINIMO) PODENDO VARIAR, APARELHADA EM DUAS BORDAS, EM MAÇARANDUBA, ANGELIM OU EQUIVALENTE DA REGIÃO']","['Chapas e Painéis', 'Outros - Madeiras']"
resistencia eletrica modelo 055 a compativel com torneira eletrica lorenzetti 5 500w 220v,2,"['Resistência elétrica modelo 055-A, compatível com torneira elétrica Lorenzetti 5.500w 220V.']",['Resistências Elétricas']
rele termico sobrecarga rw27 5d3 uo50 32 50a,2,['RELÉ TÉRMICO SOBRECARGA RW27 5D3-UO50 32-50A'],['Proteções Elétricas']
rele termico sobrecarga rw27 2d3 uo40 32 40a,2,['RELÉ TÉRMICO SOBRECARGA RW27 2D3-UO40 32-40A'],['Proteções Elétricas']
rele termico sobrecarga rw27 2d3 uo032 22 32a,2,['RELÉ TÉRMICO SOBRECARGA RW27 2D3-UO032 22-32A'],['Proteções Elétricas']
cabo cobre nu classe 2a abnt nbr 6524 7 fios 25mm2 92,2,['Cabo Cobre Nu Classe 2a ABNT NBR 6524 7 Fios 25mm2 - 92'],['Cabos Elétricos']
cabo 2 5mm vermelho,2,"['Cabo 2,5mm vermelho']","['Cabos Elétricos', 'Ferramentas Manuais']"
cabo de energia multiplo,2,['CABO DE ENERGIA MULTIPLO'],"['Cabos Elétricos', 'Cabos e Fios Elétricos']"
cabo de cobre unipolar 10 mm2 blindado isolacao 3 6 6 kv epr cobertura em pvc,2,"['CABO DE COBRE UNIPOLAR 10 MM2, BLINDADO, ISOLACAO 3,6/6 KV EPR, COBERTURA EM PVC']",['Cabos Elétricos']
cabo de cobre nu 50 mm2,2,"['CABO DE COBRE NU 50 MM2', 'Cabo de cobre nu 50 mm²']","['Cabos Elétricos', 'Ferramentas Manuais']"
cabo de cobre nu,2,['CABO DE COBRE NU'],['Cabos Elétricos']
cabo de cobre flexivel hepr 95mm2 0 6 1kv 90 c isolacao antichama e atox lszh,2,"['Cabo de cobre flexível HEPR 95mm² 0,6-1kV 90°C. Isolação antichama e ATOX/LSZH.']",['Cabos Elétricos']
cabo de cobre flexivel hepr 150mm2 0 6 1kv 90 c isolacao antichama e atox lszh,2,"['Cabo de cobre flexível HEPR 150mm² 0,6-1kV 90°C. Isolação antichama e ATOX/LSZH.']",['Cabos Elétricos']
cabo de cobre flexivel classe 4 ou 5 isolacao em pvc a antichama bwf b cobertura pvc st1 antichama bwf b 1 condutor 0 6 1 kv secao nominal 6 mm2,2,"['CABO DE COBRE, FLEXIVEL, CLASSE 4 OU 5, ISOLACAO EM PVC/A, ANTICHAMA BWF-B, COBERTURA PVC-ST1, ANTICHAMA BWF-B, 1 CONDUTOR, 0,6/1 KV, SECAO NOMINAL 6 MM2']",['Cabos Elétricos']
rolo fio cabo flexsil 750v 2 50mm preto 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 2.50MM PRETO 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 2 50mm branco 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 2.50MM BRANCO 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 2 50mm azul 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 2.50MM AZUL 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 1 50mm vermelho 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 1.50MM VERMELHO 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 1 50mm preto 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 1.50MM PRETO 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 1 50mm azul 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 1.50MM AZUL 100MT'],['Cabos e Fios Elétricos']
rolo de pelicula refletiva grau tecnico vermelha,2,['Rolo de Película refletiva grau técnico Vermelha'],['Ferramentas para Jardim']
rolo de pelicula refletiva grau tecnico azul,2,['Rolo de Película refletiva grau técnico Azul'],['Ferramentas para Jardim']
rolo de pelicula refletiva grau tecnico amarela,2,['Rolo de Película refletiva grau técnico Amarela'],['Ferramentas para Jardim']
rolo de pelicula branco legenda,2,['Rolo de Película Branco legenda'],['Ferramentas para Jardim']
bucha de reducao dn50x40mm de pvc rigido branco serie normal para esgoto e agua pluvial conforme nbr 5688,2,"['Bucha de Redução, DN50x40mm, de PVC Rígido Branco Série Normal para Esgoto e Água Pluvial, conforme NBR 5688']","['Sanitário', 'Tubos e conexões para Gases Medicinais']"
bucha de reducao agua quente,2,['Bucha de Redução Água Quente'],['Canos e Conexões Hidráulicas']
bucha de nylon sem aba s6 com parafuso de 4 20 x 40 mm em aco zincado com rosca soberba cabeca chata e fenda phillips,2,"['BUCHA DE NYLON SEM ABA S6, COM PARAFUSO DE 4,20 X 40 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS']",['Ferragens para Fixar e Montar']
brita n01 saco 20kg,2,['BRITA N01 SACO 20KG'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
rolo de espuma 15 cm com suporte,2,['Rolo de espuma 15 cm com suporte'],['Ferramentas para Jardim']
rodape material,2,['Rodapé Material'],['Rodapés']
barra antipanico simples com fechadura lado oposto cor cinza,2,"['BARRA ANTIPANICO SIMPLES, COM FECHADURA LADO OPOSTO, COR CINZA', 'BARRA ANTIPÂNICO simples com fechadura lado oposto, cor cinza.']","['Acessórios de Portas e Janelas', 'Portas corta fogo']"
servico de bombeamento de concreto com consumo minimo de 40 m3,2,"['SERVICO DE BOMBEAMENTO DE CONCRETO COM CONSUMO MINIMO DE 40  M3', 'SERVICO DE BOMBEAMENTO DE CONCRETO COM CONSUMO MINIMO DE 40 M3']",['Aduela de Concreto']
self toque de seda acetinado base a2 16l,2,['SELF TOQUE DE SEDA ACETINADO BASE A2 16L'],['Verniz e Solvente']
self contained a agua 20tr,2,['SELF CONTAINED A ÁGUA 20TR'],['Ar Condicionado']
self acrilico fosco completo base a2 3 2l,2,['SELF ACRILICO FOSCO COMPLETO BASE A2 3.2L'],['Verniz e Solvente']
self acrilico fosco completo base a2 16l,2,['SELF ACRILICO FOSCO COMPLETO BASE A2 16L'],['Verniz e Solvente']
selador acrilico exterior interior 18l,2,['SELADOR ACRILICO EXTERIOR/INTERIOR 18L'],['Verniz e Solvente']
salva piso 1 00m kraft plast bolha logo thony,2,['SALVA PISO 1.00M (KRAFT + PLAST BOLHA) LOGO THONY'],"['Lona, Papelão e Plástico Bolha']"
saida lateral perfilado para eletroduto,2,['Saida lateral perfilado para eletroduto'],['Tubos e Eletrodutos']
saco calica,2,['SACO CALICA'],['Sacos de Entulho']
rotacao vertical duplo em tubo de aco carbono pintura no processo eletrostatico equipamento de ginastica para academia ao ar livre academia da terceira idade ati,2,"['ROTACAO VERTICAL DUPLO, EM TUBO DE ACO CARBONO, PINTURA NO PROCESSO ELETROSTATICO - EQUIPAMENTO DE GINASTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI', 'ROTAÇÃO VERTICAL DUPLO, EM TUBO DE AÇO CARBONO, PINTURA NO PROCESSO ELETROSTÁTICO - EQUIPAMENTO DE GINÁSTICA PARA ACADEMIA AO AR LIVRE / ACADEMIA DA TERCEIRA IDADE - ATI']","['Areia, Pedra Brita, Gesso, Cal e Argila', 'Barras, Tubos e Chapas Metalon']"
rolos fita isolante 19mm x 20m,2,"['Rolos fita isolante, 19mm x 20m']",['Ferramentas para Jardim']
rolo la anti gota 9cm,2,['ROLO LA ANTI-GOTA 9CM'],['Ferramentas para Jardim']
rolo la anti gota 23cm,2,['ROLO LA ANTI-GOTA 23CM'],['Ferramentas para Jardim']
rolo fio cabo flexsil 750v 2 50mm vermelho 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 2.50MM VERMELHO 100MT'],['Cabos e Fios Elétricos']
rolo fio cabo flexsil 750v 2 50mm verde 100mt,2,['(ROLO) FIO CABO FLEXSIL 750V 2.50MM VERDE 100MT'],['Cabos e Fios Elétricos']
sinalizador noturno simples para para raios sem rele fotoeletrico,2,"['SINALIZADOR NOTURNO SIMPLES PARA PARA-RAIOS, SEM RELE FOTOELETRICO', 'Sinalizador noturno simples para para-raios sem rele fotoelétrico']",['Para Raios e SPDA']
sinalizacao para sanitario feminino abnt 9050,2,['Sinalização para Sanitário feminino - ABNT 9050'],['Cabos e Fios Elétricos']
silicone pu siltano 400gr cinza,2,['SILICONE PU SILTANO 400GR CINZA'],['Adesivos e Colas']
silica ativa para adicao em concreto e argamassa,2,"['SILICA ATIVA PARA ADICAO EM CONCRETO E  ARGAMASSA', 'SILICA ATIVA PARA ADICAO EM CONCRETO E ARGAMASSA']","['Aduela de Concreto', 'Argamassas']"
sikatop 107 caixa 18kg cinza,2,['SIKATOP 107 CAIXA 18KG CINZA'],['Vedação e Impermeabilização']
sikafill rapido branco 15l,2,['SIKAFILL RAPIDO BRANCO 15L'],['Impermeabilizantes']
sifao tubo extensivo universal 74cm branco,2,['SIFAO TUBO EXTENSIVO UNIVERSAL 74CM BRANCO'],['Sifão para Pia']
bomba triplex com motor a diesel nacional diametro de succao de 2 1 2,2,"[""BOMBA TRIPLEX COM MOTOR A DIESEL, NACIONAL, DIAMETRO DE SUCCAO DE 2  1/2''"", ""BOMBA TRIPLEX COM MOTOR A DIESEL, NACIONAL, DIAMETRO DE SUCCAO DE 2 1/2''""]",['Equipamentos para Construção']
bloco de concreto estrutural,2,"['Bloco de Concreto Estrutural', 'Bloco de concreto Estrutural']",['Blocos de Concreto']
betoneira capacidade nominal 600 l capacidade de mistura 440 l motor a gasolina potencia 10 hp com carregador,2,"['BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM  CARREGADOR', 'BETONEIRA CAPACIDADE NOMINAL 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A GASOLINA POTENCIA 10 HP, COM CARREGADOR']",['Ferramentas para Construção']
beneficiamento,2,['Beneficiamento'],['Casa em Steel-Frame']
base para rele fotoeletrico giratorio baixa com corrente nominal de 10a tensao de operacao bivolt de 100 a 240v e frequencia de 50 60hz produto destinado ao uso externo acompanhado de suporte galvanizado com alca de fixacao indicado para instalacao d,2,"['Base para relé fotoelétrico giratório baixa, com corrente nominal de 10A, tensão de operação bivolt de 100 a 240V e frequência de 50/60Hz. Produto destinado ao uso externo, acompanhado de suporte galvanizado com alça de fixação, indicado para instalação d']",['Proteções Elétricas']
base para rele fotoeletrico,2,"['Base para Relé Fotoelétrico', 'Base para relé fotoelétrico']",['Proteções Elétricas']
barramento trifasico pente 80a 100 cobre barra com 1m,2,"['Barramento trifásico (pente), 80A, 100% cobre, barra com 1m.']","['Barras, Tubos e Chapas Metalon']"
barramento terra 12 posicoes com suporte na cor verde para trilho tipo din,2,"['Barramento terra, 12 posições, com suporte, na cor verde para trilho tipo DIN.']",['Outros - Materiais Elétricos']
barramento neutro 12 posicoes com suporte na cor azul para trilho tipo din,2,"['Barramento neutro, 12 posições, com suporte, na cor azul, para trilho tipo DIN.']",['Outros - Materiais Elétricos']
te reducao soldavel 40x25mm pvc marrom agua fria,2,['Tê Redução Soldável 40x25mm PVC Marrom Água Fria'],"['Canos e Conexões Hidráulicas', 'Água Fria']"
te de reducao pvc soldavel 90 graus 40 mm x 32 mm para agua fria predial,2,"['TE DE REDUCAO, PVC, SOLDAVEL, 90 GRAUS, 40 MM X 32 MM, PARA AGUA FRIA PREDIAL']",['Canos e Conexões Hidráulicas']
tapete isolante eletrica de borracha classe 4 36kv espessuras de 3 2 a 4 3mm submetido a teste de rigidez dieletrica com etiqueta de conformidade constando numero de rastreamento da etiqueta vinculado ao laudo individual de cada tapete isolante eletrica de borracha na cor preta o tapete deve vir acompanhado do relatorio do servico de ensaio realizado por laboratorio especializado e laudo assinado por tecnico responsavel e inscrito no crea com data de validade do laudo de isolacao eletrica de 1 ano a partir do ensaio,2,"['Tapete Isolante Elétrica De Borracha Classe 4: 36kV – Espessuras de 3,2 a 4,3mm, submetido a teste de rigidez dielétrica com etiqueta de conformidade constando número de rastreamento da etiqueta vinculado ao laudo individual de cada Tapete Isolante Elétrica De Borracha na cor Preta. O Tapete deve vir acompanhado do relatório do serviço de ensaio realizado por laboratório especializado e laudo assinado por técnico responsável e inscrito no CREA. Com data de validade do laudo de isolação elétrica de 1 ano, a partir do ensaio']",['Cabos e Fios Elétricos']
tanque fortplus 2500 litros,2,"['Tanque Fortplus, 2500 Litros']",['Água Fria']
tanque fortplus 1000 litros,2,"['Tanque Fortplus 1000 Litros', 'Tanque Fortplus, 1000 Litros']",['Água Fria']
tanque de ceramica 30l,2,['Tanque de cerâmica 30L'],"['Armazenamento, Captação e Tratamento de Água']"
tampao roscado,2,['TAMPÃO ROSCADO'],['Outros - Ferragens']
tampao fofo completo d 400 articulado 110 dn 600 mm,2,['TAMPAO FOFO COMPLETO D-400 ARTICULADO 110 DN 600 MM'],['Outros - Ferragens']
tampao fofo articulado p registro t 19,2,['TAMPAO FOFO ARTICULADO P/ REGISTRO T-19'],['Outros - Ferragens']
tampao fofo articulado p registro classe a15 carga max 1 5 t 200 x 200 mm,2,"['TAMPAO FOFO ARTICULADO P/ REGISTRO, CLASSE A15 CARGA MAX 1,5 T, *200 X 200* MM', 'tampão foFo articulado p/ registro, classe A15, Carga máx. 1,5 T, *200 x 200* MM']","['Outros - Ferragens', 'Tomadas, interruptores e plugues']"
tampao em ferro fundido ductil classe e 600 abertura livre 600mm,2,['Tampão em ferro fundido dúctil - classe e 600 - abertura livre 600mm'],['Outros - Ferragens']
tampao de aco,2,['Tampão de aço'],['Outros - Ferragens']
tampa em concreto armado 2 secoes 122x122cm,2,['Tampa em concreto armado 2 seções  122x122cm'],['Artefatos de Concreto']
tampa em concreto 2 secoes 72x72 cm,2,['Tampa em concreto 2 seções 72x72 cm'],['Artefatos de Concreto']
suporte plafon simples redondo em pvc na cor branco para uma lampada soquete e 27,2,"['Suporte plafon simples redondo, em PVC na cor branco, para uma lâmpada soquete E-27.']",['Lâmpadas']
suporte externo para split de 12 a 30000 btus 500 x 500,2,['Suporte Externo Para Split de 12 a 30000 bTUs 500 x 500'],['Suportes']
argamassa votomassa massa pronta 20kg,2,['ARGAMASSA VOTOMASSA MASSA PRONTA 20KG'],['Argamassas']
argamassa supergraute uso externo e interno 25kg,2,['ARGAMASSA SUPERGRAUTE USO EXTERNO E INTERNO 25KG'],['Argamassas']
argamassa polimerica impermeabilizante semiflexivel bicomponente membrana impermeabilizante acrilica,2,"['ARGAMASSA POLIMERICA IMPERMEABILIZANTE SEMIFLEXIVEL, BICOMPONENTE (MEMBRANA IMPERMEABILIZANTE ACRILICA)']","['Argamassa', 'Argamassas']"
argamassa piso sobre piso interno branco 20kg,2,['ARGAMASSA PISO SOBRE PISO INTERNO BRANCO 20KG'],['Argamassas']
argamassa piso sobre piso externo branco 20kg,2,['ARGAMASSA PISO SOBRE PISO EXTERNO BRANCO 20KG'],['Argamassas']
telha de fibrocimento ondulada e 6 mm de 1 53 x 1 10 m sem amianto,2,"['TELHA DE  FIBROCIMENTO ONDULADA E= 6 MM, DE 1,53 X 1,10    M     (SEM      AMIANTO)', 'TELHA DE FIBROCIMENTO ONDULADA E = 6 MM, DE 1,53 X 1,10 M (SEM AMIANTO)']","['Cimentos', 'Telhas']"
telha de fibrocimento ondulada e 4 mm de 2 44 x 0 50 m sem amianto,2,"['TELHA DE FIBROCIMENTO ONDULADA E = 4 MM, DE 2,44 X 0,50 M (SEM AMIANTO)']",['Cimentos']
tela de fibra de vidro acabamento anti alcalino malha 10 x 10 mm,2,"['TELA DE FIBRA DE VIDRO, ACABAMENTO ANTI-ALCALINO, MALHA 10 X 10 MM', 'Tela de fibra de vidro, acabamento anti-alcalino, malha 10 x 10 MM']","['Fibra de Vidro', 'Tomadas, interruptores e plugues']"
tela de arame malha quadrada ac sae 1020,2,['Tela de arame malha quadrada AC SAE 1020'],['Cercados e Segurança']
tela de arame galvanizada revestida em pvc quadrangular losangular fio 2 11 mm 14 bwg bitola final 2 8 mm malha 8 x 8 cm h 2 m,2,"['TELA DE ARAME GALVANIZADA REVESTIDA EM PVC, QUADRANGULAR / LOSANGULAR, FIO 2,11 MM (14 BWG), BITOLA FINAL = *2,8* MM, MALHA *8 X 8* CM, H = 2 M', 'Tela de arame galvanizada  revestida em PVC quadrangular / losangular, fio 2,11 mm ( 14 BWG),  bitola final = * 2,8 * mm, malha * 8 x 8 * cm, H= 2 m']",['Cercados e Segurança']
tela de aniagem juta,2,"['TELA DE ANIAGEM ( JUTA)', 'TELA DE ANIAGEM (JUTA)']",['Barreiras de Proteção']
tela de aco soldada nervurada ca 60 q 92 1 48 kg m2 diametro do fio 4 2 mm largura 2 45 x 60 m de comprimento espacamento da malha 15 x 15 cm,2,"['TELA DE ACO SOLDADA NERVURADA, CA-60, Q-92, (1,48 KG/M2), DIAMETRO DO FIO = 4,2 MM, LARGURA = 2,45 X 60 M DE COMPRIMENTO, ESPACAMENTO DA MALHA = 15  X 15 CM', 'TELA DE ACO SOLDADA NERVURADA, CA-60, Q-92, (1,48 KG/M2), DIAMETRO DO FIO = 4,2 MM, LARGURA = 2,45 X 60 M DE COMPRIMENTO, ESPACAMENTO DA MALHA = 15 X 15 CM']","['Tela, cerca e gabião em aço']"
tela de aco soldada nervurada ca 60 q 113,2,"['TELA DE AÇO SOLDADA NERVURADA CA-60, Q-113']","['Materiais para Obras', 'Tela, cerca e gabião em aço']"
tela arame galvanizado revestido com polimero malha hexagonal dupla torcao 8 x 10 cm zn al revestido com polimero fio 2 4 mm,2,"['TELA ARAME GALVANIZADO REVESTIDO COM POLIMERO, MALHA HEXAGONAL DUPLA TORCAO, 8 X 10 CM (ZN/AL REVESTIDO COM POLIMERO), FIO *2,4* MM']",['Cercados e Segurança']
tela 1 5 m altura malha 7 arame 16 rolo de 25m,2,"['Tela 1,5 m altura, malha 7, arame 16, rolo de 25m.']",['Cercados e Segurança']
te soldavel pvc 90 graus 40 mm para agua fria predial nbr 5648,2,"['TE SOLDAVEL, PVC, 90 GRAUS, 40 MM, PARA AGUA FRIA PREDIAL (NBR 5648)']",['Água Fria']
terminacao te raychem tyco polimerica a frio externo tfto 4121 para cabos ate 95mm2 em 8 7 15kv ou 12 20kv,2,"['TERMINAÇÃO TE (RAYCHEM/TYCO) POLIMÉRICA A FRIO - EXTERNO TFTO 4121 - PARA CABOS ATÉ 95MM² EM 8,7/15KV OU 12/20KV']",['Acessórios e Conexões Elétricas']
telhas galvalumes trapezoidal termoacustica,2,['Telhas Galvalumes Trapezoidal Termoacústica'],['Telhas']
telha trapezoidal em aco zincado sem pintura altura de aproximadamente 40 mm espessura de 0 50 mm e largura util de 980 mm,2,"['TELHA TRAPEZOIDAL EM ACO ZINCADO, SEM  PINTURA, ALTURA DE APROXIMADAMENTE 40  MM, ESPESSURA DE 0,50 MM E LARGURA UTIL DE  980 MM.', 'TELHA TRAPEZOIDAL EM ACO ZINCADO, SEM PINTURA, ALTURA DE APROXIMADAMENTE 40 MM, ESPESSURA DE 0,50 MM E LARGURA UTIL DE 980 MM']",['Telhas']
telha estrutural de fibrocimento 1 aba de 0 52 x 4 50 m sem amianto,2,"['TELHA ESTRUTURAL DE FIBROCIMENTO 1 ABA, DE 0,52 X 4,50 M (SEM AMIANTO)']",['Cimentos']
telha de fibrocimento ondulada e 8 mm de 3 66 x 1 10 m sem amianto,2,"['TELHA DE FIBROCIMENTO ONDULADA E = 8 MM, DE 3,66 X 1,10 M (SEM AMIANTO)']",['Cimentos']
telha de fibrocimento ondulada e 6 mm de 2 44 x 1 10 m sem amianto,2,"['TELHA DE FIBROCIMENTO ONDULADA E = 6 MM, DE 2,44 X 1,10 M (SEM AMIANTO)']",['Cimentos']
bancada tampo aco inox aisi 304 largura 60 cm com rodabanca nao inclui pes de apoio,2,"['BANCADA/TAMPO ACO INOX (AISI 304), LARGURA 60 CM, COM RODABANCA (NAO INCLUI PES DE APOIO', 'BANCADA/TAMPO ACO INOX (AISI 304), LARGURA 60 CM, COM RODABANCA (NAO INCLUI PES DE APOIO)']",['Pias e Cubas de Cozinha']
bancada de granito cinza andorinha nas dimensoes 2 00x0 64m com acabamento polido lustrado e quinas acabamento bisotado c frontispicio de 2x10cm l x a atras e na lateral direita c borda p area molhada 4x2cm l x a c abertura para 1 torneira1 e 1 cuba 50x40cm c x l inclusive com o fornecimento e fixacao de 1 cuba em aco inox polido 50x40x20 c x l x a confeccionado conforme o item 2 da especificacao tecnica do anexo 2 todas as pecas e cubas deverao ser fixadas com massa adesiva plastica similar ou igual a massa adesiva plastica ibere,2,"['BANCADA DE GRANITO CINZA ANDORINHA NAS DIMENSÕES 2,00x0,64m., COM ACABAMENTO POLIDO, LUSTRADO E QUINAS ACABAMENTO BISOTADO, C/FRONTISPÍCIO DE 2x10cm. (L X A) ATRÁS E NA LATERAL  DIREITA, C/BORDA P/ÁREA MOLHADA 4x2cm. (L X A), C/ ABERTURA PARA 1 TORNEIRA1 E 1 CUBA 50x40cm. (C X L), INCLUSIVE COM O FORNECIMENTO E FIXAÇÃO DE 1 CUBA EM AÇO INOX POLIDO 50x40x20 (C X L X A). CONFECCIONADO CONFORME O ITEM 2 DA ESPECIFICAÇÃO TÉCNICA DO ANEXO 2. TODAS AS PEÇAS E CUBAS DEVERÃO SER FIXADAS COM MASSA ADESIVA PLÁSTICA SIMILAR OU IGUAL A MASSA ADESIVA PLÁSTICA IBERÊ.']",['Adesivos e Colas']
bancada banca em marmore polido branco comum e 3 cm,2,"['BANCADA/ BANCA EM MARMORE, POLIDO, BRANCO COMUM, E=  *3* CM', 'BANCADA/ BANCA EM MARMORE, POLIDO, BRANCO COMUM, E= 3 CM']",['Pias e Bancadas em Mármore']
bacias sanitarias com caixa acoplada,2,['Bacias Sanitárias com Caixa Acoplada'],"['Pias e Lavatórios', 'Sanitário']"
assento sanitario almofadado com tampa em polipropileno branco compativel com a bacia sanitaria monte carlo referencia marca deca equivalente ou superior,2,"['Assento sanitário almofadado, com tampa, em polipropileno branco, compatível com a bacia sanitária Monte Carlo, referência: marca Deca, equivalente ou superior.']",['Assentos Sanitários']
asfalto diluido de petroleo cm 30,2,"['ASFALTO DILUÍDO DE PETRÓLEO CM-30', 'ASFALTO DILUÍDO DE PETRÓLEO – CM 30']","['Cimento Asfáltico de Petróleo - CAP', 'Manta e Produtos Asfálticos']"
asfalto diluido de petroleo adp tipo cm 30,2,"['Asfalto Diluído De Petróleo (ADP) Tipo CM-30', 'asfalto Diluído de Petróleo (ADP) tipo CM-30']",['Pavimentaço']
arruela quadrada em aco galvanizado dimensao 38 mm espessura 3mm diametro do furo 18 mm,2,"['ARRUELA QUADRADA EM ACO GALVANIZADO, DIMENSAO = 38 MM, ESPESSURA = 3MM, DIAMETRO DO FURO= 18 MM']",['Ferragens para Fixar e Montar']
arruela lisa,2,['Arruela lisa'],['Ferragens para Fixar e Montar']
arruela de pressao,2,['Arruela de pressão'],['Ferragens para Fixar e Montar']
ar condicionado split inverter piso teto 36000 btu h ciclo frio 60hz classificacao energetica a ou b selo procel gas hfc controle s fio,2,"['AR CONDICIONADO SPLIT INVERTER, PISO TETO, 36000 BTU/H, CICLO FRIO, 60HZ, CLASSIFICACAO ENERGETICA A OU B (SELO PROCEL), GAS HFC, CONTROLE S/FIO']",['Ar Condicionado']
ar condicionado split inverter hi wall parede 24000 btu h ciclo frio 60hz classificacao a selo procel gas hfc controle s fio,2,"['AR CONDICIONADO SPLIT INVERTER, HI-WALL (PAREDE), 24000 BTU/H, CICLO FRIO, 60HZ, CLASSIFICACAO A (SELO PROCEL), GAS HFC, CONTROLE S/FIO', 'AR CONDICIONADO SPLIT INVERTER, HI-WALL (PAREDE), 24000 BTU/H, CICLO FRIO, 60HZ, CLASSIFICACAO A - SELO PROCEL, GAS HFC, CONTROLE S/FIO']",['Ar Condicionado']
thinner 900ml,2,['Thinner 900ml'],['Verniz e Solvente']
textura rolada lisa decore int ext balde 25kg,2,['TEXTURA ROLADA LISA DECORE INT/EXT BALDE 25KG'],['Textura de Parede']
textura riscada media decore int ext balde 25kg,2,['TEXTURA RISCADA MEDIA DECORE INT/EXT BALDE 25KG'],['Textura de Parede']
textura riscada grossa decore int ext balde 25kg,2,['TEXTURA RISCADA GROSSA DECORE INT/EXT BALDE 25KG'],['Textura de Parede']
tesoura de poda com lamina,2,['Tesoura de Poda com Lâmina'],"['Ferramentas Manuais', 'Ferramentas para Jardim']"
terminal ya 50mm,2,['Terminal YA 50mm'],['Acessórios e Conexões Elétricas']
terminal ya 25mm,2,['Terminal YA 25mm'],['Acessórios e Conexões Elétricas']
terminal tubular ilhos para fio 4mm,2,['Terminal tubular ilhos para fio 4mm.'],['Acessórios e Conexões Elétricas']
terminal pre isolado pino 16 00 mm2,2,"['Terminal pré-isolado pino 16,00 mm².']",['Ferragens para Fixar e Montar']
terminal pre isolado pino 10 00 mm2,2,"['Terminal pré-isolado pino 10,00 mm²']",['Ferragens para Fixar e Montar']
terminal pre isolado ilhos 10 00 mm,2,"['Terminal pré-isolado ilhós 10,00 mm.']",['Ferragens para Fixar e Montar']
terminal metalico a pressao para 1 cabo de 300 mm2 com 1 furo de fixacao,2,"['TERMINAL METALICO A PRESSAO PARA 1 CABO DE 300 MM2, COM 1 FURO DE FIXACAO', 'Terminal Metalico A Pressao Para 1 Cabo De 300 Mm2, Com 1 Furo De Fixacao']",['Acessórios e Conexões Elétricas']
terminal eletrico tubular duplo ilhos pre isolado 6mm,2,"['TERMINAL ELÉTRICO TUBULAR DUPLO ILHÓS PRÉ-ISOLADO 6MM', 'Terminal elétrico tubular duplo ilhós pré-isolado 6mm']",['Acessórios e Conexões Elétricas']
terminal a compressao tipo olhal estanhado pre isolado dn ø 1 5mm,2,"['TERMINAL A COMPRESSAO TIPO OLHAL ESTANHADO PRE-ISOLADO, DN Ø 1,5MM']",['Acessórios e Conexões Elétricas']
tinta acrilica premium para piso,2,['TINTA ACRILICA PREMIUM PARA PISO'],['Verniz e Solvente']
timer temporizador analogico tomada bivolt 10a,2,"['Timer Temporizador Analógico Tomada Bivolt 10a', 'Timer temporizador analógico tomada bivolt 10A']","['Tomadas, interruptores e plugues']"
tijolos,2,"['Tijolos', 'tijolos']",['Tijolos e Blocos Estruturais']
tijolo 6 furos 9x14x19cm,2,['TIJOLO 6 FUROS 9X14X19CM'],['Tijolos e Blocos Estruturais']
tijolo 6 furos,2,"['TIJOLO 6 FUROS', 'Tijolo 6 furos']",['Tijolos e Blocos Estruturais']
argamassa argamassa colante tipo ac3 interno e externo branco 20kg,2,['ARGAMASSA - ARGAMASSA COLANTE TIPO AC3 INTERNO E EXTERNO BRANCO 20KG'],['Argamassas']
argamassa acabamento finaliza interno 15kg,2,['ARGAMASSA ACABAMENTO FINALIZA INTERNO 15KG'],['Argamassas']
areia media saco 20kg,2,['AREIA MEDIA SACO 20KG'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
areia grossa saco 20kg,2,['AREIA GROSSA SACO 20KG'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
areia grossa posto jazida fornecedor retirado na jazida sem transporte,2,"['AREIA GROSSA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)', 'Areia Grossa - Posto Jazida / Fornecedor (Retirado na Jazida / Sem Transporte)']","['Areia, Pedra Brita, Gesso, Cal e Argila']"
