y_true	y_pred	pred_confidence
Combate a Incêndio	Massa Corrida e Niveladora	0.08201958866956814
Outros - Materiais de Construção	Armazenamento, Captação e Tratamento de Água	0.015596227150391884
Cabos Elétricos	Ferragens para Fixar e Montar	0.008890084657735263
Cercados e Segurança	Aços para Construção	0.03658450737643933
Outros	Gesso e Drywall	0.018388767098671252
Disjuntores e Fusíveis	Proteções Elétricas	0.028748155491577092
Outros - Tintas e Acessórios	Revestimentos	0.0036830367639667963
Canos e Conexões Hidráulicas	Sanitário	0.3309894914891797
Usina de Asfalto	CBUQ	0.009560546751406876
Acessórios para Banheiro	Artefatos de Concreto	0.007292251407021782
Ferragens para Fixar e Montar	Ferramentas Manuais	0.054662589279234695
Artefatos de Concreto	Tijolos e Blocos Estruturais	0.012014937199415023
Acessórios e Conexões Elétricas	Automação Industrial	0.10212033885950364
Torneiras para Cozinha	Cabos e Fios Elétricos	0.013403598124636061
Condutos	Tijolos e Blocos Estruturais	0.004157093055870143
Tampões e Grelhas	Artefatos de Concreto	0.0072167648568864625
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.0395160660201697
Automação Industrial	Tomadas, interruptores e plugues	0.004416007994157776
Acessórios e Conexões Elétricas	Para Raios e SPDA	0.005495056183479709
Insumos metálicos	Aços para Construção	0.01868033713315667
Canos e Conexões Hidráulicas	Água Fria	0.01137522363495239
Aduela de Concreto	Poste de Concreto	0.014081219929080444
Terraplenagem	Aços para Construção	0.01115190265782133
Ferragens para Fixar e Montar	Subestações e Alta Tensão	0.027318899736040986
Acessórios de Portas e Janelas	Acessórios para Banheiro	0.0414371263916079
Cabos e Fios Elétricos	Cabos Elétricos	0.03135114886102088
Formas	Artefatos de Concreto	0.0057338861221205885
Cabos e Fios Elétricos	Cabos Elétricos	0.009825966265009974
Outros - Materiais Elétricos	Transformadores de Energia	0.005797236228345887
Janelas e Venezianas	Acessórios de Portas e Janelas	0.009826334225676346
Tubos e conexões para Gases Medicinais	Sanitário	0.029768757764138135
Canos e Conexões Hidráulicas	Tubos e conexões para Gases Medicinais	0.01945756146376959
Parafusos e acessórios	Ferragens para Fixar e Montar	0.009580547927444122
Pisos	Blocos de Concreto	0.004380887337157515
Tomadas, interruptores e plugues	Para Raios e SPDA	0.038367518196489155
Informática	Notebooks	0.01646368768733046
Portas e esquadrias	Acessórios de Portas e Janelas	0.011269453345786808
Ferramentas para Solda	Acessórios e Conexões Elétricas	0.004890690129353713
Quadros e Caixas Elétricas	Proteções Elétricas	0.06447988705325865
Usina de Asfalto	Aduela de Concreto	0.003642663844761927
Eletrocalhas	Tubos e conexões industriais	0.02458941085106902
Acessórios e Consumíveis para Ferramentas	Ferragens para Fixar e Montar	0.006937763021101302
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.12436350239220491
Acessórios e Conexões Elétricas	Proteções Elétricas	0.008474508495910374
Ferramentas Manuais	Cabos Elétricos	0.11185282105545707
Tubos e conexões para Gases Medicinais	Sanitário	0.10687809987252428
Conteineres	Assentos Sanitários	0.03680016896338843
Tubos e Eletrodutos	Canos e Conexões Hidráulicas	0.018065409862321018
Equipamentos Elétricos	Luminárias	0.012604551409761394
Artefatos de Concreto	Aduela de Concreto	0.01152325873563885
Produtos para Limpeza	Cabos e Fios Elétricos	0.003762419366173765
Canos e Conexões Hidráulicas	Sanitário	0.11145855361423429
Inversores	Tomadas, interruptores e plugues	0.006210796168287913
Blocos de Vidro	Blocos de Concreto	0.00876543804594693
Tubos e conexões industriais	Canos e Conexões Hidráulicas	0.006055119167455482
Cabos e Fios Elétricos	Acessórios e Conexões Elétricas	0.011045177521865146
Sinalização, Letras e Números	Acessórios de Portas e Janelas	0.04598592642426487
Outros - Materiais Elétricos	Acessórios e Conexões Elétricas	0.00622950194618972
Tomadas, interruptores e plugues	Blocos de Concreto	0.0075331565765911716
Acessórios de Portas e Janelas	Portas corta fogo	0.2175380525019912
Construção Civil	Transportes	0.022400860101083827
Perfis e chapas em aço carbono	Outros - Ferragens	0.005554980173963319
Quadros e Caixas Elétricas	Para Raios e SPDA	0.008931197088784306
Canos e Conexões Hidráulicas	Outros - Materiais Hidráulicos	0.006930391457254487
Tomadas, interruptores e plugues	Acessórios e Consumíveis para Ferramentas	0.03281536958213988
Tomadas, interruptores e plugues	Automação Industrial	0.01063922464161801
Tomadas, interruptores e plugues	Outros - Materiais Hidráulicos	0.005693344632975366
Pré-Moldados	Artefatos de Concreto	0.019044162521862865
Aduela de Concreto	Poste de Concreto	0.035918493371880654
Compressores	Serviços Mecânicos	0.009772363713663329
Notebooks	Acessórios de Portas e Janelas	0.035248492974920415
Outros - Ferragens	Ferragens para Fixar e Montar	0.013775511982149949
Barras, Tubos e Chapas Metalon	Tubos e Eletrodutos	0.00491979289259876
Barras, Tubos e Chapas Metalon	Insumos metálicos	0.004439107573283942
Artefatos de Concreto	Aduela de Concreto	0.010306932237301066
Cabos e Fios Elétricos	Barreiras de Proteção	0.005349188488954915
Tomadas, interruptores e plugues	Exaustores	0.023085370666285788
Infraestrutura	Vegetação	0.008199556379273346
Equipamentos Elétricos	Ar Condicionado	0.03432740196327615
Adesivos e Colas	Para Raios e SPDA	0.005295556094520409
Areia, Pedra Brita, Gesso, Cal e Argila	Todos os Pisos	0.004809775553624929
Argamassas	Acessórios de Portas e Janelas	0.01477031344198275
Outros - Materiais de Construção	Barreiras de Proteção	0.031999794880132
Luminárias	Lâmpadas	0.029882901941295215
Aços para Construção	Canos e Conexões Hidráulicas	0.009456994979001232
Acessórios de Portas e Janelas	Ar Condicionado	0.29253817814175853
Canos e Conexões Hidráulicas	Sanitário	0.4112475939420119
Outros - Materiais Elétricos	Cabos Elétricos	0.005150620736960998
Água Fria	Canos e Conexões Hidráulicas	0.07516095114538264
Compressor de Ar	Ferramentas Elétricas/Bateria	0.004857557116893595
Outros - Iluminação	Lâmpadas	0.09099522795712323
Água Fria	Canos e Conexões Hidráulicas	0.12361198378260785
Verniz e Solvente	Telhas	0.020455965488139518
Aduela de Concreto	Poste de Concreto	0.009358614295700146
Ferragens para Fixar e Montar	Parafusos e acessórios	0.008212785042554021
Automação Residencial	Abajures	0.0029673590504451044
Calhas, Rufos e Algerosas	Eletrocalhas	0.007531556382992169
Acessórios para Banheiro	EPI: Equipamentos Proteção Individual	0.004828979704710826
Outros - Materiais Hidráulicos	Canos e Conexões Hidráulicas	0.009694399029790546
Aços para Construção	Perfis e chapas em aço carbono	0.0036705962795570944
EPI: Equipamentos Proteção Individual	Tubos e Eletrodutos	0.005355600083124258
Placa de obra	Outros - Materiais de Construção	0.009347545157205322
Cercados e Segurança	Artefatos de Concreto	0.00843485544033385
Torneiras para Banheiro	Torneiras	0.04557096624794645
Água Fria	Canos e Conexões Hidráulicas	0.05569449218538497
Tijolos e Blocos Estruturais	Blocos de Concreto	0.0784003010567784
Tomadas, interruptores e plugues	Tubos e conexões industriais	0.014726296351964985
Insumos metálicos	Perfis e chapas em aço carbono	0.006799336196154656
Sanitário	Canos e Conexões Hidráulicas	0.152862777954564
Anéis de Vedação	Canos e Conexões Hidráulicas	0.009135679946219024
Compressor de Ar	Ferramentas Elétricas/Bateria	0.006286091979228622
Cabos e Fios Elétricos	Acessórios de Portas e Janelas	0.9563909423552495
Lixeiras de Calçada	Lixeiras	0.010721435023063606
Ferramentas para Jardim	Ferramentas Elétricas/Bateria	0.03453950763047768
Outros - Ferragens	Tubos e conexões industriais	0.007498785795459748
Transformadores de Energia	Quadros e Caixas Elétricas	0.017575745079308754
Caixas de Esgoto	Calhas, Rufos e Algerosas	0.007539617438255453
Artefatos de Concreto	Caixas de Esgoto	0.012250184186073817
Rodapés	Pedras Naturais e Mosaicos	0.00706503807867469
Subestações e Alta Tensão	Transformadores de Energia	0.004653923919239181
Ferramentas Manuais	Cabos Elétricos	0.06596754383572814
Ferramentas Manuais	Cabos Elétricos	0.08618384969109709
Produtos para Limpeza	Abajures	0.0029673590504451044
Formas	Parafusos e acessórios	0.007528980828950784
Ferramentas Manuais	Cabos Elétricos	0.00492128298318862
Tomadas, interruptores e plugues	Subestações e Alta Tensão	0.008821539093033029
Aduela de Concreto	Equipamentos Elétricos	0.0049472333551606636
Ferragens para Fixar e Montar	Tomadas, interruptores e plugues	0.004645531366937072
Tomadas, interruptores e plugues	Cercados e Segurança	0.009530857119930635
Areia, Pedra Brita, Gesso, Cal e Argila	Acessórios e Consumíveis para Ferramentas	0.006541834635473459
Transportes	Tomadas, interruptores e plugues	0.05728397772452048
Tomadas, interruptores e plugues	Canos e Conexões Hidráulicas	0.04853407083012547
Infraestrutura	Luminárias	0.009555460535204565
Cabos e Fios Elétricos	Telhas	0.006832813580590104
Artefatos de Concreto	Armazenamento, Captação e Tratamento de Água	0.005121278365326773
Ferramentas para Construção	Aduela de Concreto	0.008861827225281659
Formas	Artefatos de Concreto	0.0031519106916269783
Fibra de Vidro	Tomadas, interruptores e plugues	0.018613146275943872
