	precision	recall	f1-score	support
Disjuntores e Fusíveis	0.75	0.6	0.6666666666666666	5.0
EPI: Equipamentos Proteção Individual	0.8780487804878049	0.9473684210526315	0.9113924050632911	38.0
Eletrocalhas	0.7222222222222222	1.0	0.8387096774193549	13.0
Elevador Cremalheira	1.0	1.0	1.0	3.0
Equipamentos	0.8	1.0	0.8888888888888888	4.0
Equipamentos para Construção	0.0	0.0	0.0	2.0
Equipamentos para Gases Medicinais	1.0	0.6666666666666666	0.8	3.0
Escadas Móveis	0.6	1.0	0.75	3.0
Esportes e Lazer	1.0	1.0	1.0	2.0
Fechaduras e Travas	0.8333333333333334	0.8333333333333334	0.8333333333333334	6.0
Ferragens para Fixar e Montar	0.7857142857142857	0.8461538461538461	0.8148148148148148	26.0
Ferramentas   para Pintura	1.0	1.0	1.0	3.0
Ferramentas Elétricas/Bateria	0.8333333333333334	0.8333333333333334	0.8333333333333334	6.0
Ferramentas Manuais	0.78125	0.78125	0.78125	32.0
Ferramentas de Medição	0.75	1.0	0.8571428571428571	6.0
Ferramentas para Construção	0.8181818181818182	0.6923076923076923	0.75	13.0
Ferramentas para Jardim	1.0	0.7777777777777778	0.875	9.0
Fitas	1.0	0.8333333333333334	0.9090909090909091	6.0
Fontes de Energia	0.8571428571428571	1.0	0.9230769230769231	12.0
Formas	1.0	0.8333333333333334	0.9090909090909091	6.0
Forros	1.0	1.0	1.0	4.0
Gesso e Drywall	1.0	0.75	0.8571428571428571	8.0
Impermeabilizantes	0.5	0.6666666666666666	0.5714285714285714	3.0
Infraestrutura	0.6666666666666666	0.4	0.5	5.0
Isolamento	1.0	1.0	1.0	2.0
Lona, Papelão e Plástico Bolha	1.0	0.5	0.6666666666666666	4.0
Lâmpadas	0.9459459459459459	0.9722222222222222	0.958904109589041	36.0
Madeiras para Construção	1.0	0.875	0.9333333333333333	8.0
Manta e Produtos Asfálticos	1.0	0.5	0.6666666666666666	4.0
Massa Corrida e Niveladora	0.6666666666666666	0.6666666666666666	0.6666666666666666	3.0
Medição e instrumentação	0.75	1.0	0.8571428571428571	3.0
Nobreaks	1.0	1.0	1.0	4.0
Outros	1.0	0.5	0.6666666666666666	2.0
